id_transacao,id_cliente,categoria,valor
1001,1,Livros,115.07
1002,1,Alimentos,159.24
1003,1,Casa,120.21
1004,1,Alimentos,33.5
1005,1,Alimentos,175.24
1006,1,Livros,34.29
1007,1,Alimentos,18.81
1008,1,Roupas,227.72
1009,1,Roupas,87.27
1010,1,Casa,327.87
1011,1,Roupas,176.44
1012,1,Livros,22.31
1013,1,Alimentos,128.19
1014,1,Roupas,52.13
1015,2,Alimentos,85.76
1016,2,Livros,79.24
1017,2,Alimentos,174.09
1018,2,Casa,252.72
1019,2,Roupas,286.71
1020,3,Roupas,140.21
1021,3,Roupas,65.39
1022,3,Livros,44.1
1023,3,Livros,32.2
1024,3,Casa,424.94
1025,3,Alimentos,183.22
1026,3,Livros,38.22
1027,3,Livros,51.17
1028,3,Roupas,187.6
1029,3,Casa,486.31
1030,3,Roupas,156.94
1031,3,Roupas,272.66
1032,3,Livros,24.52
1033,3,Casa,224.9
1034,3,Roupas,180.32
1035,3,Roupas,290.97
1036,3,Livros,74.27
1037,3,Eletronicos,461.09
1038,3,Casa,83.55
1039,4,Eletronicos,358.65
1040,4,Alimentos,51.79
1041,5,Alimentos,161.18
1042,5,Alimentos,28.7
1043,5,Roupas,70.13
1044,5,Eletronicos,804.46
1045,5,Roupas,64.81
1046,5,Casa,378.32
1047,5,Alimentos,118.83
1048,5,Alimentos,37.12
1049,5,Alimentos,155.75
1050,5,Roupas,101.36
1051,5,Alimentos,111.71
1052,5,Roupas,46.61
1053,5,Casa,140.77
1054,5,Eletronicos,480.07
1055,5,Livros,110.76
1056,6,Alimentos,52.57
1057,6,Casa,84.64
1058,6,Alimentos,143.54
1059,6,Livros,112.97
1060,6,Casa,183.04
1061,6,Casa,442.16
1062,7,Livros,38.66
1063,7,Alimentos,75.0
1064,7,Livros,55.63
1065,7,Eletronicos,435.74
1066,7,Alimentos,94.01
1067,7,Livros,55.26
1068,7,Alimentos,16.29
1069,7,Alimentos,92.22
1070,7,Casa,361.6
1071,7,Roupas,127.78
1072,7,Alimentos,74.79
1073,7,Eletronicos,574.03
1074,7,Eletronicos,416.61
1075,7,Livros,45.18
1076,7,Roupas,225.19
1077,7,Casa,178.18
1078,7,Eletronicos,430.12
1079,7,Roupas,170.7
1080,7,Casa,205.28
1081,8,Alimentos,140.93
1082,8,Casa,270.25
1083,9,Livros,28.09
1084,9,Alimentos,59.8
1085,9,Casa,334.54
1086,9,Alimentos,166.04
1087,9,Eletronicos,308.25
1088,9,Alimentos,49.51
1089,9,Casa,436.26
1090,9,Livros,87.76
1091,9,Alimentos,146.56
1092,9,Alimentos,79.5
1093,9,Livros,114.05
1094,9,Roupas,257.8
1095,9,Alimentos,78.1
1096,10,Roupas,280.42
1097,10,Roupas,107.06
1098,11,Roupas,295.36
1099,11,Livros,72.97
1100,11,Roupas,299.03
1101,11,Livros,75.83
1102,11,Alimentos,49.91
1103,11,Eletronicos,516.67
1104,11,Alimentos,173.42
1105,11,Eletronicos,824.13
1106,11,Alimentos,188.09
1107,11,Livros,109.86
1108,11,Livros,78.07
1109,11,Eletronicos,846.68
1110,11,Casa,177.76
1111,11,Roupas,166.26
1112,11,Alimentos,135.61
1113,11,Eletronicos,334.72
1114,11,Livros,43.72
1115,11,Casa,130.47
1116,11,Alimentos,136.66
1117,12,Livros,70.88
1118,12,Casa,269.03
1119,13,Alimentos,95.36
1120,13,Casa,276.19
1121,13,Livros,86.89
1122,13,Eletronicos,355.01
1123,13,Casa,274.64
1124,13,Livros,22.43
1125,13,Eletronicos,195.78
1126,13,Livros,114.05
1127,13,Casa,175.8
1128,13,Alimentos,153.33
1129,13,Casa,467.74
1130,13,Eletronicos,730.4
1131,13,Alimentos,196.36
1132,13,Livros,49.44
1133,13,Casa,135.91
1134,14,Alimentos,46.36
1135,14,Eletronicos,564.43
1136,15,Roupas,281.8
1137,15,Roupas,199.9
1138,15,Roupas,106.08
1139,15,Roupas,268.12
1140,15,Eletronicos,1041.1
1141,15,Eletronicos,887.61
1142,15,Casa,183.43
1143,15,Roupas,250.63
1144,15,Eletronicos,792.09
1145,15,Livros,71.13
1146,15,Eletronicos,809.29
1147,15,Livros,85.0
1148,15,Livros,108.66
1149,16,Roupas,64.44
1150,16,Alimentos,101.14
1151,16,Casa,427.52
1152,16,Roupas,47.93
1153,16,Livros,23.88
1154,17,Alimentos,38.51
1155,17,Eletronicos,1019.26
1156,17,Livros,41.58
1157,17,Casa,255.77
1158,17,Casa,137.47
1159,17,Alimentos,132.92
1160,17,Livros,33.27
1161,17,Roupas,174.24
1162,17,Alimentos,162.11
1163,17,Alimentos,96.21
1164,17,Roupas,46.59
1165,17,Casa,86.39
1166,17,Eletronicos,872.92
1167,18,Roupas,277.96
1168,18,Roupas,102.34
1169,19,Eletronicos,843.21
1170,19,Casa,337.22
1171,19,Casa,382.05
1172,19,Casa,325.27
1173,19,Alimentos,60.83
1174,19,Alimentos,155.2
1175,19,Eletronicos,508.97
1176,19,Livros,24.6
1177,19,Eletronicos,476.98
1178,19,Livros,37.53
1179,19,Roupas,238.47
1180,19,Casa,263.06
1181,19,Eletronicos,637.91
1182,20,Roupas,200.12
1183,20,Casa,449.01
1184,20,Livros,57.46
1185,20,Roupas,282.69
1186,20,Eletronicos,716.35
1187,20,Casa,123.32
1188,21,Roupas,46.89
1189,21,Alimentos,163.18
1190,21,Livros,58.82
1191,21,Livros,32.85
1192,21,Casa,295.53
1193,21,Casa,331.67
1194,21,Eletronicos,1159.25
1195,21,Roupas,93.74
1196,21,Casa,81.21
1197,21,Roupas,50.13
1198,21,Roupas,217.58
1199,21,Eletronicos,838.51
1200,21,Casa,430.19
1201,21,Roupas,128.56
1202,21,Alimentos,67.14
1203,22,Roupas,221.15
1204,22,Casa,471.49
1205,22,Livros,61.79
1206,22,Casa,176.92
1207,22,Roupas,150.1
1208,23,Alimentos,198.24
1209,23,Livros,57.2
1210,23,Casa,157.37
1211,23,Casa,382.96
